Event	ID	Name			Wwise Object Path	Notes
	509637542	Play_Thunderclap			\Default Work Unit\Play_Thunderclap	
	2838936948	Play_Rain			\Default Work Unit\Play_Rain	

State Group	ID	Name			Wwise Object Path	Notes
	3284061781	Menu_Filter			\Default Work Unit\Frederik Work Unit (States)\Menu_Filter	

State	ID	Name	State Group			Notes
	0	None	Menu_Filter			
	3537680115	Pause_On	Menu_Filter			
	3967028551	Pause_Off	Menu_Filter			

Custom State	ID	Name	State Group	Owner		Notes
	962599018	Pause_On	Menu_Filter	\Actor-Mixer Hierarchy\Frederik Work Unit\2D\Rain		

Game Parameter	ID	Name			Wwise Object Path	Notes
	1866329414	RainIntensity			\Frederik Work Unit(GP)\RainIntensity	Intenisty of the rain sound effect.

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	101782059	Thunder3	C:\Users\Bruger\Documents\GitHub\MiniGame2\MiniGame2_WwiseProject\.cache\Android\SFX\thunder_mountainous_big_crack_02_BF755129.wem		\Actor-Mixer Hierarchy\Frederik Work Unit\2D\Rain\Thunder\Thunder3		123530
	166099676	heavy_rain	C:\Users\Bruger\Documents\GitHub\MiniGame2\MiniGame2_WwiseProject\.cache\Android\SFX\RATH - Rain Hard Loop 08_4D33B3C1.wem		\Actor-Mixer Hierarchy\Frederik Work Unit\2D\Rain\heavy_rain		103894
	308894312	Gust1	C:\Users\Bruger\Documents\GitHub\MiniGame2\MiniGame2_WwiseProject\.cache\Android\SFX\Vindpust1_BF755129.wem		\Actor-Mixer Hierarchy\Frederik Work Unit\2D\Rain\Wind3D\Gust1		96344
	367148356	THUNDER_Clap_Rumble_01_stereo	C:\Users\Bruger\Documents\GitHub\MiniGame2\MiniGame2_WwiseProject\.cache\Android\SFX\THUNDER_Clap_Rumble_01_stereo_BF755129.wem		\Actor-Mixer Hierarchy\Frederik Work Unit\2D\Thunderclap\THUNDER_Clap_Rumble_01_stereo		99090
	679480057	Gust2	C:\Users\Bruger\Documents\GitHub\MiniGame2\MiniGame2_WwiseProject\.cache\Android\SFX\Vindpust2_BF755129.wem		\Actor-Mixer Hierarchy\Frederik Work Unit\2D\Rain\Wind3D\Gust2		96809
	716116991	THUNDER_Clap_Rumble_03_stereo	C:\Users\Bruger\Documents\GitHub\MiniGame2\MiniGame2_WwiseProject\.cache\Android\SFX\THUNDER_Clap_Rumble_03_stereo_BF755129.wem		\Actor-Mixer Hierarchy\Frederik Work Unit\2D\Thunderclap\THUNDER_Clap_Rumble_03_stereo		167184
	746519542	Gust3	C:\Users\Bruger\Documents\GitHub\MiniGame2\MiniGame2_WwiseProject\.cache\Android\SFX\Vindpust3_BF755129.wem		\Actor-Mixer Hierarchy\Frederik Work Unit\2D\Rain\Wind3D\Gust3		97359
	828872827	Gust5	C:\Users\Bruger\Documents\GitHub\MiniGame2\MiniGame2_WwiseProject\.cache\Android\SFX\Vindpust5_BF755129.wem		\Actor-Mixer Hierarchy\Frederik Work Unit\2D\Rain\Wind3D\Gust5		96678
	869447023	light_rain	C:\Users\Bruger\Documents\GitHub\MiniGame2\MiniGame2_WwiseProject\.cache\Android\SFX\Rain in forest the day_120118_13_FF08B868.wem		\Actor-Mixer Hierarchy\Frederik Work Unit\2D\Rain\light_rain		298180
	897929999	Wind2D	C:\Users\Bruger\Documents\GitHub\MiniGame2\MiniGame2_WwiseProject\.cache\Android\SFX\Wind2d_746EC52F.wem		\Actor-Mixer Hierarchy\Frederik Work Unit\2D\Rain\Wind2D		439225
	964968574	Thunder1	C:\Users\Bruger\Documents\GitHub\MiniGame2\MiniGame2_WwiseProject\.cache\Android\SFX\thunder_clap_04_3A1C24E2.wem		\Actor-Mixer Hierarchy\Frederik Work Unit\2D\Rain\Thunder\Thunder1		95704
	971076657	Thunder4	C:\Users\Bruger\Documents\GitHub\MiniGame2\MiniGame2_WwiseProject\.cache\Android\SFX\thunder_strike_03_BF755129.wem		\Actor-Mixer Hierarchy\Frederik Work Unit\2D\Rain\Thunder\Thunder4		170797
	971949006	THUNDER_Clap_Rumble_02_stereo	C:\Users\Bruger\Documents\GitHub\MiniGame2\MiniGame2_WwiseProject\.cache\Android\SFX\THUNDER_Clap_Rumble_02_stereo_BF755129.wem		\Actor-Mixer Hierarchy\Frederik Work Unit\2D\Thunderclap\THUNDER_Clap_Rumble_02_stereo		149477
	999435447	Thunder2	C:\Users\Bruger\Documents\GitHub\MiniGame2\MiniGame2_WwiseProject\.cache\Android\SFX\THUNDER_Clap_Rumble_02_stereo_D71316C6.wem		\Actor-Mixer Hierarchy\Frederik Work Unit\2D\Rain\Thunder\Thunder2		127313
	1049510695	Gust4	C:\Users\Bruger\Documents\GitHub\MiniGame2\MiniGame2_WwiseProject\.cache\Android\SFX\Vindpust4_BF755129.wem		\Actor-Mixer Hierarchy\Frederik Work Unit\2D\Rain\Wind3D\Gust4		98020

